Ticker,Company,Sector,Industry,Country
TEN,Tenneco Inc.,Consumer Cyclical,Auto Parts,USA
TENB,"Tenable Holdings, Inc.",Technology,Software - Infrastructure,USA
TENX,"Tenax Therapeutics, Inc.",Healthcare,Biotechnology,USA
TEO,Telecom Argentina S.A.,Communication Services,Telecom Services,Argentina
TER,"Teradyne, Inc.",Technology,Semiconductor Equipment & Materials,USA
TERN,"Terns Pharmaceuticals, Inc.",Healthcare,Biotechnology,USA
TESS,TESSCO Technologies Incorporated,Technology,Communication Equipment,USA
TETCU,Tech and Energy Transition Corporation,Financial,Shell Companies,USA
TEVA,Teva Pharmaceutical Industries Limited,Healthcare,Drug Manufacturers - Specialty & Generic,Israel
TEX,Terex Corporation,Industrials,Farm & Heavy Construction Machinery,USA
TFC,Truist Financial Corporation,Financial,Banks - Regional,USA
TFFP,"TFF Pharmaceuticals, Inc.",Healthcare,Biotechnology,USA
TFII,TFI International Inc.,Industrials,Trucking,Canada
TFSL,TFS Financial Corporation,Financial,Banks - Regional,USA
TFX,Teleflex Incorporated,Healthcare,Medical Instruments & Supplies,USA
TG,Tredegar Corporation,Basic Materials,Specialty Chemicals,USA
TGA,TransGlobe Energy Corporation,Energy,Oil & Gas E&P,Canada
TGB,Taseko Mines Limited,Basic Materials,Other Industrial Metals & Mining,Canada
TGH,Textainer Group Holdings Limited,Industrials,Rental & Leasing Services,Bermuda
TGI,"Triumph Group, Inc.",Industrials,Aerospace & Defense,USA
TGLS,Tecnoglass Inc.,Industrials,Building Products & Equipment,Colombia
TGNA,TEGNA Inc.,Communication Services,Broadcasting,USA
TGP,Teekay LNG Partners L.P.,Energy,Oil & Gas Midstream,Bermuda
TGS,Transportadora de Gas del Sur S.A.,Energy,Oil & Gas Midstream,Argentina
TGT,Target Corporation,Consumer Defensive,Discount Stores,USA
TGTX,"TG Therapeutics, Inc.",Healthcare,Biotechnology,USA
TH,Target Hospitality Corp.,Energy,Oil & Gas Equipment & Services,USA
THBR,"Thunder Bridge Acquisition II, Ltd.",Financial,Shell Companies,USA
THC,Tenet Healthcare Corporation,Healthcare,Medical Care Facilities,USA
THCA,Tuscan Holdings Corp. II,Financial,Shell Companies,USA
THCB,Tuscan Holdings Corp.,Financial,Shell Companies,USA
THFF,First Financial Corporation,Financial,Banks - Regional,USA
THG,"The Hanover Insurance Group, Inc.",Financial,Insurance - Property & Casualty,USA
THM,International Tower Hill Mines Ltd.,Basic Materials,Gold,Canada
THMAU,Thimble Point Acquisition Corp.,Financial,Shell Companies,USA
THMO,"ThermoGenesis Holdings, Inc.",Healthcare,Medical Devices,USA
THO,"Thor Industries, Inc.",Consumer Cyclical,Recreational Vehicles,USA
THQ,Tekla Healthcare Opportunities Fund,Financial,Closed-End Fund - Equity,USA
THR,"Thermon Group Holdings, Inc.",Industrials,Specialty Industrial Machinery,USA
THRM,Gentherm Incorporated,Consumer Cyclical,Auto Parts,USA
THRY,"Thryv Holdings, Inc.",Communication Services,Internet Content & Information,USA
THS,"TreeHouse Foods, Inc.",Consumer Defensive,Packaged Foods,USA
THTX,Theratechnologies Inc.,Healthcare,Drug Manufacturers - Specialty & Generic,Canada
THW,Tekla World Healthcare Fund,Financial,Closed-End Fund - Equity,USA
TIG,"Trean Insurance Group, Inc.",Financial,Insurance - Specialty,USA
TIGO,Millicom International Cellular S.A.,Communication Services,Telecom Services,Luxembourg
TIGR,UP Fintech Holding Limited,Financial,Capital Markets,China
TIL,"Instil Bio, Inc.",Healthcare,Biotechnology,USA
TILE,"Interface, Inc.",Consumer Cyclical,"Furnishings, Fixtures & Appliances",USA
TIMB,TIM S.A.,Communication Services,Telecom Services,Brazil
TINV,Tiga Acquisition Corp.,Financial,Shell Companies,Singapore
TIOAU,Tio Tech A,Financial,Shell Companies,Germany
TIPT,Tiptree Inc.,Financial,Insurance - Specialty,USA
TIRX,Tian Ruixiang Holdings Ltd,Financial,Insurance Brokers,China
TISI,"Team, Inc.",Industrials,Specialty Business Services,USA
TITN,Titan Machinery Inc.,Industrials,Industrial Distribution,USA
TIXT,TELUS International (Cda) Inc.,Technology,Software - Infrastructure,Canada
TJX,"The TJX Companies, Inc.",Consumer Cyclical,Apparel Retail,USA
TK,Teekay Corporation,Energy,Oil & Gas Integrated,Bermuda
TKAT,"Takung Art Co., Ltd.",Consumer Cyclical,Internet Retail,Hong Kong
TKC,Turkcell Iletisim Hizmetleri A.S.,Communication Services,Telecom Services,Turkey
TKR,The Timken Company,Industrials,Tools & Accessories,USA
TLC,"Taiwan Liposome Company, Ltd.",Healthcare,Biotechnology,Taiwan
TLGT,"Teligent, Inc.",Healthcare,Drug Manufacturers - Specialty & Generic,USA
TLIS,Talis Biomedical Corporation,Healthcare,Medical Devices,USA
TLK,Perusahaan Perseroan (Persero) PT Telekomunikasi Indonesia Tbk,Communication Services,Telecom Services,Indonesia
